fine_dust,O3,region,heavy_metal,traffic,num_of_factories,num_of_power_plants,num_of_people,household_waste_discharge_per_person (kg/days),wind_speed,wind_direction,rainfall(mm),C,avg_O3,avg_fine_dust
1,0,경기도군포시,0.903,38.8,1509 ,0,273791 ,0.5,3.901667,-27.1287,50.73333,13.4,0.023,49
1,0,경기도김포시,0.997,40.8,7209 ,0,473970 ,0.6,3.578333,-70.8791,51.93333,11.5,0.029,54.66666667
1,0,경기도남양주시,0.997,40.4,2598 ,0,713321 ,1,3.578333,-70.8791,50.91667,13.7,0.02,47.66666667
0,0,경기도동두천시,0.903,37.2,214 ,2,94353 ,2.4,3.578333,-70.8791,50.91667,12.1,0.026,42
1,0,경기도부천시,0.903,35.8,3357 ,1,818383 ,1.2,3.901667,-27.1287,50.73333,13.7,0.025,56.66666667
1,0,경기도성남시,0.903,36.3,1129 ,1,940064 ,0.5,3.901667,-27.1287,50.73333,13.7,0.023,46.66666667
1,0,경기도수원시,0.903,36.6,317 ,0,1186078 ,1.1,3.901667,-27.1287,50.73333,13.4,0.019,50.83333333
1,0,경기도시흥시,1.0695,39.6,6176 ,0,500895 ,0.5,3.901667,-27.1287,50.73333,13.4,0.022,55.4
1,1,경기도안산시,1.1711,39,3462 ,1,654915 ,0.4,3.901667,-27.1287,50.73333,13.4,0.03,51.16666667
1,0,경기도안성시,0.9249,42.4,2156 ,0,187012 ,1.9,3.901667,-27.1287,50.73333,12.5,0.027,54
1,0,경기도안양시,0.9249,37.9,836 ,1,550027 ,0.2,3.901667,-27.1287,50.73333,11.5,0.02,51.33333333
1,0,경기도양주시,0.9249,40.5,2556 ,0,230359 ,2.9,3.578333,-70.8791,50.91667,12.1,0.025,47.66666667
1,0,경기도양평군,0.9249,39.6,153 ,0,118810 ,4.4,3.901667,-27.1287,49.3,12.7,0.017,49.83333333
1,0,경기도여주시,0.9249,48.2,792 ,0,111897 ,2.2,3.901667,-27.1287,44.61667,12.7,0.021,52.83333333
0,0,경기도연천군,0.997,57.8,170 ,0,43516 ,1.9,3.578333,-70.8791,50.91667,11.5,0.027,41.66666667
1,0,경기도오산시,0.9249,36.7,251 ,1,229725 ,1.2,3.901667,-27.1287,50.73333,13.4,0.022,46.5
1,0,경기도용인시,0.9249,38.4,845 ,0,1074176 ,0.5,3.901667,-27.1287,50.73333,13.7,0.019,50.5
1,0,경기도의왕시,0.9249,37.7,643 ,0,163795 ,7.2,3.901667,-27.1287,50.73333,13.7,0.015,47.4
1,0,경기도의정부시,0.997,37.6,239 ,0,461710 ,0.2,3.578333,-70.8791,51.93333,13.7,0.025,44.16666667
1,0,경기도이천시,0.9249,41.6,1174 ,0,218388 ,6.4,3.901667,-27.1287,44.61667,12.7,0.027,49.83333333
1,0,경기도파주시,0.997,40.3,4740 ,0,465617 ,1.7,3.578333,-70.8791,51.93333,11.5,0.024,52.16666667
1,0,경기도평택시,0.9657,39.4,2239 ,3,537307 ,1.8,3.901667,-27.1287,50.73333,12.5,0.026,53.83333333
1,0,경기도포천시,0.997,46.5,3369 ,0,147274 ,2.5,3.578333,-70.8791,50.91667,12.1,0.028,47
1,0,경기도하남시,0.9249,39.3,714 ,0,293452 ,1.2,3.901667,-27.1287,64.28333,13.7,0.019,50
1,0,경기도화성시,0.9249,39.6,11446 ,0,855248 ,0.8,3.901667,-27.1287,50.73333,13.4,0.025,50.83333333
