fine_dust,O3,region,heavy_metal,traffic,num_of_factories,num_of_power_plants,num_of_people,household_waste_discharge_per_person (kg/days),wind_speed,wind_direction,rainfall(mm),C,avg_O3,avg_fine_dust
1,1,대구광역시달성군,0.6993,39,1915 ,0,259339 ,1.2,4.298333,8.348843,32.66667,14.6,0.032,43.62319
1,0,대구광역시동 구,0.6993,38.4,387 ,0,341920 ,1.2,4.298333,8.348843,32.66667,14.6,0.023,45.26431
0,0,대구광역시북 구,0.6993,38,1936 ,0,440263 ,1.2,4.298333,8.348843,32.66667,14.6,0.026,40.69734
1,0,대구광역시서 구,0.6912,36.4,941 ,0,170700 ,2.4,4.298333,8.348843,32.66667,14.6,0.024,45.67113
0,0,대구광역시수성구,0.6604,34.5,66 ,0,424314 ,1.1,4.298333,8.348843,32.66667,14.6,0.026,41.61106
0,0,대구광역시중 구,0.6993,38.2,162 ,0,76547 ,1.9,4.298333,8.348843,32.66667,14.6,0.027,41.7159
1,0,대전광역시대덕구,1.4128,42.5,1257 ,0,176384 ,1.3,5.465,-78.1077,37.7,14.3,0.018,48.22015
0,0,대전광역시동 구,0.817,38,371 ,0,223021 ,0.9,5.465,-78.1077,37.7,14.3,0.023,43.05268
1,0,대전광역시서 구,0.6533,35.1,195 ,0,477880 ,0.9,5.465,-78.1077,37.7,14.3,0.026,43.75031
0,0,대전광역시유성구,0.6935,36.7,1540 ,0,351047 ,1.1,5.465,-78.1077,37.7,14.3,0.026,42.56493
1,0,대전광역시중 구,0.817,37.9,125 ,0,235550 ,1,5.465,-78.1077,37.7,14.3,0.026,45.39896
1,0,부산광역시강서구,0.681,42.8,4358 ,0,137957 ,2.2,3.763333,-12.6015,59.4,15.7,0.026,43.24349
0,0,부산광역시금정구,0.7594,42.8,411 ,0,232666 ,1.1,3.763333,-12.6015,59.4,15.7,0.027,33.42834
0,1,부산광역시기장군,0.681,41.8,868 ,0,174545 ,1,3.763333,-12.6015,59.4,15.7,0.034,34.5945
0,1,부산광역시남 구,0.681,39.9,236 ,0,267731 ,1,3.763333,-12.6015,59.4,15.7,0.03,39.66783
0,1,부산광역시동 구,0.681,49.8,51 ,0,88901 ,1.3,3.763333,-12.6015,59.4,15.7,0.035,39.031
